name,osm_id,mid_lat,mid_lng,node_count,data_source,highway_type,surface,lanes,maxspeed,oneway,bridge,tunnel,lit,sidewalk,cycleway,width,access,ref
,27551838,40.44057798461539,-79.94656126153846,13,osm,footway,grass,,,,,,,,,,,
,27574158,40.4413254,-79.94665016666666,3,osm,footway,concrete,,,,,,,,,,,
,27574211,40.442345257142854,-79.94373153571428,14,osm,footway,concrete,,,,,,yes,,,,,
,27574212,40.44430405,-79.9430368,2,osm,steps,concrete,,,,,,yes,,,,,
,27574214,40.444331250000005,-79.94302735,2,osm,footway,concrete,,,,,,yes,,,,,
,27574216,40.444456,-79.94298415,2,osm,steps,concrete,,,,,,yes,,,,,
,27574224,40.44429076,-79.94279486,5,osm,footway,concrete,,,,,,yes,,,,,
,27574241,40.4439317,-79.94255679999999,3,osm,footway,concrete,,,,,,no,,,,,
,27574253,40.44271898,-79.93934850000001,15,osm,footway,paved,,,,,,,,,,,
,27574256,40.44257012857143,-79.9433205,7,osm,footway,concrete,,,,,,no,,,,,
,27574258,40.44221478,-79.94350996,5,osm,footway,concrete,,,,,,yes,,,,,
,27574262,40.44398786666667,-79.9435914,3,osm,footway,concrete,,,,,,yes,,,,,
,27574300,40.44209804,-79.94472594,5,osm,footway,concrete,,,,,,,,,,,
,27574304,40.44206903333333,-79.94429633333333,6,osm,footway,concrete,,,,,,,,,,,
,27574307,40.441924766666666,-79.9450316,3,osm,footway,concrete,,,,,,,,,,,
,27574313,40.44221765,-79.94503655,2,osm,footway,concrete,,,,,,,,,,,
,27574314,40.44191455,-79.94455985,4,osm,footway,concrete,,,,,,no,,,,,
,27574320,40.44190639999999,-79.9455103,2,osm,footway,concrete,,,,,,,,,,,
,27574321,40.441316400000005,-79.94414815,2,osm,footway,paving_stones,,,,,,yes,,,,,
,27574324,40.44123308333334,-79.94341106666667,6,osm,footway,concrete:plates,,,,,,,,,,,
,27574326,40.441573033333334,-79.94318416666667,3,osm,footway,paving_stones,,,,,,,,,,,
,27574345,40.441565992307694,-79.94246808461538,13,osm,footway,concrete,,,,,,,,,,,
,27574346,40.44179684,-79.94239877999999,5,osm,footway,concrete,,,,,,,,,,,
,27574348,40.4419154875,-79.942295375,8,osm,footway,concrete,,,,,,,,,,,
,27574365,40.442936149999994,-79.9451792,2,osm,service,,,,,,,,,,,destination,
,27574372,40.442120375,-79.939309475,4,osm,footway,concrete,,,,,,,,,,,
,27574373,40.44202575,-79.9396279,4,osm,footway,concrete,,,,,,,,,,,
,27574410,40.4443515,-79.94294746666667,3,osm,footway,concrete,,,,,,yes,,,,,
,27574412,40.4442583,-79.94286185,2,osm,footway,concrete,,,,,,yes,,,,,
,27574540,40.440910300000006,-79.94289193333333,3,osm,footway,concrete,,,,,,,,,,,
,27574543,40.44113973333334,-79.9443068,3,osm,footway,concrete,,,,,,yes,,,,,
,27574567,40.4426068,-79.943246,3,osm,footway,concrete,,,,,,no,,,,,
,27590842,40.4420514,-79.94705845,2,osm,steps,paving_stones,,,,,,,,,,,
,27590955,40.4436456,-79.9461834,2,osm,steps,concrete,,,,yes,,,,,,,
,27590956,40.443451499999995,-79.9462532,2,osm,steps,concrete,,,,,,,,,,,
,27590957,40.44369625,-79.94616515,2,osm,footway,concrete,,,,yes,,,,,,,
,27590958,40.4435523,-79.94621695000001,2,osm,footway,concrete,,,,yes,,,,,,,
,27591115,40.44398650909091,-79.9461179,11,osm,service,,,,,,,,,,,destination,
,27591116,40.44448842857143,-79.94556321428571,7,osm,service,,,,,,,,,,,destination,
,27591133,40.44430192222222,-79.94435442222222,9,osm,service,asphalt,,,,,,,,,,destination,
,27591170,40.44429093333333,-79.94337703333333,3,osm,footway,paving_stones,,,,,,yes,,,,,
,27591222,40.4419143,-79.94306035,2,osm,steps,concrete,,,,,,,,,,,
,27591320,40.44238645,-79.940576,2,osm,steps,concrete,,,,,,,,,,,
,27591322,40.44213666666666,-79.94066996666668,3,osm,footway,concrete,,,,,,,,,,,
,27591324,40.441890825,-79.94067927500001,4,osm,service,asphalt,,,,,,,,,,destination,
,27591332,40.442026025,-79.940845,4,osm,service,,,,,,,,,,,private,
,27591355,40.4433641,-79.94115705454546,22,osm,footway,concrete,,,,,,,,,,,
,27591356,40.44285775,-79.940812,4,osm,footway,concrete,,,,,,,,,,,
,27591361,40.44260333333333,-79.94049066666666,3,osm,footway,concrete,,,,,,,,,,,
,27591364,40.44291704,-79.9414039,5,osm,footway,concrete,,,,,,,,,,,
,27591370,40.4427409,-79.9413527,2,osm,footway,concrete,,,,,,,,,,,
,27591374,40.44312505,-79.9414135,2,osm,footway,concrete,,,,,,,,,,,
,27591389,40.4422364,-79.94611355,2,osm,footway,concrete,,,,,,,,,,,
,27591397,40.4422739,-79.94628455,2,osm,footway,concrete,,,,,,,,,,,
,27592085,40.446410071428566,-79.94077754285715,7,osm,service,,,,,,,,,,,private,
,27592147,40.44718772,-79.93614334,5,osm,service,,,,,,,,,,,,
,27592717,40.43636489166666,-79.94070914166666,12,osm,track,gravel,,,,,,,,,,,
,27610918,40.44087591666667,-79.94782903333333,6,osm,footway,paving_stones,,,,,,,,,,,
,27611003,40.437630725,-79.94611245833333,12,osm,footway,gravel,,,,,,,,,,,
,27611150,40.438089775,-79.9460488,8,osm,steps,,,,,,,,,,,,
,27611152,40.438261775,-79.946010425,8,osm,footway,,,,,,,,,,,,
,27611153,40.43833823333333,-79.94611828333333,6,osm,steps,,,,,,,,,,,,
,27622803,40.43995734,-79.94403852,5,osm,footway,asphalt,,,,,,,,,,,
,27622818,40.437042250000005,-79.9467968,2,osm,footway,,,,,,,,,,,,
,27623211,40.442267,-79.9452427,2,osm,footway,concrete,,,,,,no,,,,,
,27623219,40.441913757142856,-79.94528545714286,7,osm,footway,concrete,,,,,,,,,,,
,27623224,40.442364049999995,-79.9452148,2,osm,steps,concrete,,,,,,yes,,,,,
,27623231,40.44220343333333,-79.9444567,3,osm,steps,concrete,,,,,,,,,,,
,27629886,40.44247367142857,-79.94553841428572,7,osm,footway,concrete,,,,,,,,,,,
,27629887,40.44231994,-79.94599611999999,5,osm,footway,concrete,,,,,,,,,4.5,,
,27630061,40.445312075,-79.94196265,4,osm,footway,,,,,,,,,,,,
,27630070,40.44558085,-79.9420316,2,osm,footway,,,,,,,,,,,,
,27630072,40.4455331,-79.94165173333333,3,osm,footway,,,,,,,,,,,,
,27630282,40.4449897625,-79.9436095625,8,osm,footway,concrete,,,,,,,,,,,
,27630289,40.44480646666667,-79.94339133333334,3,osm,footway,concrete,,,,,,yes,,,,,
,27630294,40.444857866666666,-79.94363436666667,3,osm,footway,concrete,,,,,,yes,,,,,
,27630297,40.44496385,-79.94309725,4,osm,footway,concrete,,,,,,,,,,,
,27630307,40.44514933333333,-79.94328612222222,9,osm,footway,concrete,,,,,,,,,,,
,27630315,40.44522896666667,-79.94327563333333,3,osm,footway,concrete,,,,,,,,,,,
,27630320,40.44522138333333,-79.9429767,6,osm,footway,concrete,,,,,,yes,,,,,
,27630322,40.445589025,-79.942821175,4,osm,footway,,,,,,,,,,,,
,27630335,40.4463717,-79.942680495,20,osm,footway,,,,,,,,,,,,
,27630428,40.44606173333333,-79.94359483333334,3,osm,footway,concrete,,,,,,yes,,,,,
,27630542,40.439288399999995,-79.94550687777777,9,osm,footway,,,,,,,,,,,,
,27630550,40.43968616666667,-79.94655666666667,3,osm,steps,,,,,,,,,,,,
,30678685,40.4450912,-79.95189446666667,9,osm,footway,concrete,,,,,,yes,,,,,
,30678686,40.4449253,-79.9519946,2,osm,footway,concrete,,,,,,yes,,,,,
,30678688,40.44532413333334,-79.95214073333334,3,osm,footway,concrete,,,,,,yes,,,,,
,30678693,40.44550208571429,-79.9518322,7,osm,footway,concrete,,,,,,yes,,,,,
,39455987,40.4408977,-79.94079853,20,osm,service,,,,,,,,,,,private,
,118674552,40.4493938,-79.93930991111111,9,osm,service,,,,,,,,,,,,
,118674556,40.44919738,-79.93922125,10,osm,service,,,,,,,,,,,,
,121051124,40.447259977777776,-79.95012321111112,9,osm,service,,,,,,,,,,,,
,121051189,40.44751544,-79.95057996,5,osm,service,asphalt,,,yes,,,,,,,,
,121051190,40.4475892,-79.95052646666666,3,osm,service,asphalt,,,yes,,,,,,,,
,121051191,40.44745093333333,-79.9508445,3,osm,service,,,,,,,,,,,,
,121051281,40.44722561764706,-79.94957361764706,17,osm,footway,concrete,,,,,,,,,,,
,121051283,40.44702696666666,-79.94976319999999,3,osm,steps,concrete,,,,,,,,,,,
,121051284,40.44750535,-79.94946505,2,osm,steps,concrete,,,,,,,,,,,
